date,title,duration,location,link,description
16 Sept 2026,Opening Session,60 mins,Smart Tech Stage,https://www.infocomm-india.com/ici26-summit-agenda/opening-session,
16 Sept 2026,Education,120 mins,Room 301,https://www.infocomm-india.com/ici26-summit-agenda/education,Supported with ICT Academy
16 Sept 2026,InfoComm India 101: Navigating Your First Experience,30 mins,Xchange Live,https://www.infocomm-india.com/ici26-summit-agenda/infocomm-india-101-navigating-first-experience,
16 Sept 2026,AVIXA Xchange Live: CTS Community Meet Up,60 mins,Xchange Live,https://www.infocomm-india.com/ici26-summit-agenda/avixa-xchange-live-cts-community-meet-up,
16 Sept 2026,Enterprise IT,150 mins,Room 301,https://www.infocomm-india.com/ici26-summit-agenda/enterprise,Supported with CSI Mumbai
16 Sept 2026,Emerging Trends & AI,150 mins,Smart Tech Stage,https://www.infocomm-india.com/ici26-summit-agenda/emerging-trends-ai,
16 Sept 2026,AVIXA Xchange Live:AVIXA Women’s Council in India Meet up,60 mins,Xchange Live,https://www.infocomm-india.com/ici26-summit-agenda/avixa-xchange-liveavixa-womens-council-india-meet-up,
16 Sept 2026,Welcome Networking Event (Co-organized with AVIXA),120 mins,Smart Tech Stage,https://www.infocomm-india.com/ici26-summit-agenda/welcome-networking-event-co-organized-avixa,
17 Sept 2026,Broadcast AV,90 mins,Room 301,https://www.infocomm-india.com/ici26-summit-agenda/broadcast-av,
17 Sept 2026,Digital Signage,120 mins,Smart Tech Stage,https://www.infocomm-india.com/ici26-summit-agenda/digital-signage,
17 Sept 2026,Connect After : Broadcast AV,30 mins,Xchange Live,https://www.infocomm-india.com/ici26-summit-agenda/connect-broadcast-av,
17 Sept 2026,Regional AV Roundtable,90 mins,Room 301,https://www.infocomm-india.com/ici26-summit-agenda/regional-av-roundtable,
17 Sept 2026,Connect After : Digital Signage,30 mins,Xchange Live,https://www.infocomm-india.com/ici26-summit-agenda/connect-digital-signage,
17 Sept 2026,Conference & Collaboration,90 mins,Smart Tech Stage,https://www.infocomm-india.com/ici26-summit-agenda/conference-collaboration,
17 Sept 2026,AVIXA Xchange Live: AV/IT Community Meet Up,60 mins,Xchange Live,https://www.infocomm-india.com/ici26-summit-agenda/avixa-xchange-live-av-community-meet-up,
17 Sept 2026,Cybersecurity,180 mins,Room 301,https://www.infocomm-india.com/ici26-summit-agenda/cybersecurity,Supported by CSI
17 Sept 2026,Live Events/Immersive Technology,120 mins,Smart Tech Stage,https://www.infocomm-india.com/ici26-summit-agenda/live-events-immersive-technology,
17 Sept 2026,Connect After: Live Events/Immersive Technology,30 mins,Xchange Live,https://www.infocomm-india.com/ici26-summit-agenda/connect-live-events-immersive-technology,
18 Sept 2026,Audio,120 mins,Smart Tech Stage,https://www.infocomm-india.com/ici26-summit-agenda/audio,
18 Sept 2026,Hands-On Workshop,120 mins,Room 301,https://www.infocomm-india.com/ici26-summit-agenda/hands-workshop,
18 Sept 2026,AVIXA Xchange Live: Rising Professionals Meet up & Networking,60 mins,Xchange Live,https://www.infocomm-india.com/ici26-summit-agenda/avixa-xchange-live-rising-professionals-meet-up-networking,
18 Sept 2026,AVIXA Xchange Live: AV Marketers Meetup,60 mins,Xchange Live,https://www.infocomm-india.com/ici26-summit-agenda/avixa-xchange-live-av-marketers-meetup,
